ID;Has_Existing_Home_Loan;installment
1;Y;5985
2;N;0
3;N;0
4;Y;12136,5
5;N;0
6;Y;8658
7;Y;18480
8;Y;7290
9;Y;14336
10;Y;15660
11;N;0
12;Y;37128
13;Y;11202
14;Y;28101
15;Y;7896
16;Y;1998
17;Y;3690
18;N;0
19;N;0
20;Y;1769
21;N;0
22;Y;14945
23;Y;2608,5
24;Y;14175
25;Y;10370
26;N;0
27;N;0
28;Y;7137
29;N;0
30;Y;1924
31;Y;13320
32;Y;2697
33;Y;23968,5
34;N;0
35;N;0
36;Y;22924,5
37;N;0
38;Y;2109
39;Y;13398
40;Y;3478
41;Y;12789
42;N;0
43;N;0
44;Y;6105
45;N;0
46;Y;2871
47;Y;11460
48;Y;18788
49;Y;21465
50;Y;10440
51;N;0
52;Y;25872
53;Y;11310
54;Y;8658
55;Y;21489
56;Y;2767,5
57;Y;29680
58;N;0
59;Y;64800
60;Y;14040
61;N;0
62;Y;15210
63;Y;8540
64;Y;7897,5
65;Y;3885
66;N;0
67;N;0
68;Y;5439
69;N;0
70;Y;10656
71;Y;9768
72;Y;20278,5
73;Y;29700
74;Y;4075
75;Y;30580,5
76;Y;16786
77;N;0
78;Y;9135
79;Y;5557,5
80;Y;7492,5
81;Y;9918
82;Y;11076
83;N;0
84;Y;32233,5
85;Y;31320
86;Y;17251,5
87;Y;8700
88;Y;5994
89;Y;23512,5
90;N;0
91;Y;1914
92;Y;6054
93;N;0
94;Y;5400
95;Y;13162,5
96;Y;13880
97;Y;2941,5
98;N;0
99;N;0
100;Y;9768
101;N;0
102;Y;44118
103;Y;18036
104;Y;18742,5
105;Y;13837,5
106;Y;10440
107;N;0
108;Y;9787,5
109;N;0
110;Y;7955
111;Y;1480
112;Y;7992
113;Y;3306
114;Y;17523
115;Y;6003
116;Y;6808
117;Y;28804
118;Y;20069
119;Y;12397,5
120;Y;33277,5
121;Y;13098
122;Y;6962
123;N;0
124;Y;4736
125;N;0
126;Y;11372,5
127;Y;13290
128;Y;19314
129;Y;9823,5
130;N;0
131;N;0
132;Y;7733
133;N;0
134;Y;6832
135;Y;7955
136;Y;3037,5
137;Y;20862
138;N;0
139;Y;39672
140;Y;9945
141;N;0
142;Y;6364
143;Y;8917,5
144;Y;6262,5
145;Y;23565
146;Y;34524
147;Y;11310
148;Y;2806
149;Y;25215
150;Y;5266
151;Y;18981
152;Y;20872
153;Y;8754
154;Y;2377,5
155;N;0
156;Y;5247
157;Y;34620,5
158;Y;35349,5
159;Y;56712
160;Y;70281
161;Y;2035
162;Y;14277,5
163;N;0
164;Y;42151,5
165;N;0
166;Y;22220
167;Y;9990
168;Y;4184
169;Y;14319
170;N;0
171;Y;3306
172;Y;19684
173;N;0
174;Y;17280
175;Y;9922,5
176;Y;9157,5
177;Y;5050,5
178;N;0
179;Y;11266,5
180;Y;16668,5
181;N;0
182;Y;15725
183;Y;15817,5
184;Y;6615
185;Y;12510
186;N;0
187;N;0
188;Y;4162,5
189;N;0
190;Y;16443
191;Y;14176
192;Y;7672,5
193;Y;12765
194;N;0
195;N;0
196;Y;11063
197;N;0
198;Y;22272
199;Y;30580,5
200;Y;9729,5
201;Y;16672,5
202;N;0
203;N;0
204;Y;4995
205;N;0
206;Y;2931
207;Y;8784
208;Y;16065
209;Y;12728
210;N;0
211;N;0
212;Y;2115
213;N;0
214;Y;2928
215;Y;27274,5
216;Y;18270
217;Y;5046
218;N;0
219;N;0
220;Y;12078
221;Y;33952,5
222;Y;5400
223;Y;10687,5
224;Y;15790,5
225;Y;11484
226;Y;26622
227;N;0
228;Y;22315,5
229;N;0
230;Y;28971
231;Y;11248
232;Y;12136,5
233;Y;19764
234;Y;11346
235;N;0
236;Y;9712,5
237;Y;5252
238;Y;10212
239;Y;10327,5
240;Y;15817,5
241;Y;5812,5
242;N;0
243;N;0
244;Y;15372,5
245;N;0
246;Y;6826,5
247;Y;17995
248;Y;16740
249;Y;25498
250;N;0
251;N;0
252;Y;5522,5
253;Y;27405
254;Y;1850
255;Y;5772
256;Y;13860
257;Y;10237,5
258;N;0
259;N;0
260;Y;6808
261;N;0
262;Y;10962
263;Y;8235
264;Y;12136
265;Y;4258
266;N;0
267;N;0
268;Y;11805
269;Y;24115
270;Y;4717,5
271;Y;21802,5
272;Y;19314
273;Y;21532,5
274;N;0
275;N;0
276;Y;11599,5
277;N;0
278;Y;20550
279;Y;45270
280;Y;29330
281;Y;3792,5
282;Y;29754
283;N;0
284;Y;20706
285;N;0
286;Y;17052
287;Y;10800
288;Y;17530,5
289;Y;9054
290;N;0
291;N;0
292;Y;24795
293;Y;27324
294;Y;7936,5
295;Y;12127,5
296;Y;2025
297;Y;22275
298;N;0
299;N;0
300;Y;1665
301;N;0
302;Y;7830
303;Y;18937,5
304;Y;11655
305;Y;13230
306;Y;6090
307;N;0
308;Y;6660
309;N;0
310;Y;18300
311;Y;7492,5
312;Y;12825
313;Y;2275,5
314;N;0
315;N;0
316;Y;11248
317;N;0
318;Y;16605
319;Y;10353
320;Y;16704
321;Y;14512,5
322;N;0
323;Y;23490
324;Y;5494,5
325;N;0
326;Y;3825
327;Y;2497,5
328;Y;6840
329;Y;9394
330;N;0
331;N;0
332;Y;2886
333;N;0
334;Y;5772
335;Y;1665
336;Y;24800
337;Y;18981
338;Y;2882
339;N;0
340;Y;14040
341;N;0
342;Y;23466
343;Y;32616
344;Y;9768
345;Y;15022
346;N;0
347;N;0
348;Y;3055
349;Y;32556
350;Y;14823
351;Y;4942,5
352;Y;39757,5
353;Y;8880
354;Y;17835
355;N;0
356;Y;4590
357;N;0
358;Y;9004,5
359;Y;5494,5
360;Y;5985
361;Y;9439,5
362;N;0
363;N;0
364;Y;7830
365;Y;29928
366;Y;7663,5
367;Y;19314
368;Y;21532,5
369;Y;10980
370;N;0
371;Y;4567,5
372;Y;4320
373;Y;12528
374;Y;12915
375;Y;46911
376;Y;10212
377;Y;12307,5
378;N;0
379;Y;26895
380;Y;9764
381;N;0
382;Y;26362,5
383;Y;11085
384;Y;34524
385;Y;3690
386;N;0
387;Y;21216
388;Y;10716
389;Y;43435
390;Y;17637
391;Y;31950
392;Y;11245
393;Y;5278,5
394;Y;5004
395;Y;12444
396;Y;11655
397;N;0
398;Y;14107,5
399;Y;12789
400;Y;2442
401;Y;6300
402;N;0
403;N;0
404;Y;10962
405;N;0
406;Y;2220
407;Y;4736
408;Y;6100
409;Y;2928
410;N;0
411;N;0
412;Y;15300
413;N;0
414;Y;11396
415;Y;19342,5
416;Y;6140
417;Y;33235
418;N;0
419;N;0
420;Y;2030
421;Y;29790
422;Y;8548
423;Y;32040
424;Y;10736
425;Y;15817,5
426;N;0
427;Y;29265
428;Y;25445
429;Y;35316
430;Y;25110
431;Y;16712,5
432;Y;15850
433;Y;14400
434;N;0
435;N;0
436;Y;9135
437;N;0
438;Y;8692,5
439;Y;15392
440;Y;12210
441;Y;14355
442;N;0
443;Y;8700
444;Y;9625
445;N;0
446;Y;2430
447;Y;2520
448;Y;20520
449;Y;1998
450;N;0
451;N;0
452;Y;20984
453;N;0
454;Y;8991
455;Y;9028
456;Y;5642,5
457;Y;12136
458;N;0
459;N;0
460;Y;13230
461;Y;20923,5
462;Y;8032,5
463;Y;4050
464;Y;3637,5
465;Y;4950
466;N;0
467;Y;13812,5
468;Y;32400
469;N;0
470;Y;14808
471;Y;23180
472;Y;71611
473;Y;3166
474;N;0
475;N;0
476;Y;31746
477;N;0
478;Y;11988
479;Y;9135
480;Y;14490
481;Y;2830,5
482;N;0
483;N;0
484;Y;17297,5
485;Y;26494
486;Y;5551
487;Y;9360
488;Y;12825
489;Y;9768
490;N;0
491;N;0
492;Y;10890
493;N;0
494;Y;24937,5
495;Y;2109
496;Y;24832,5
497;Y;3190
498;Y;3174
499;Y;30945
500;Y;35406,5
501;N;0
502;Y;16104
503;Y;5328
504;Y;19009,5
505;Y;11946
506;N;0
507;Y;39447
508;Y;26125
509;N;0
510;Y;14467
511;Y;11248
512;Y;28275
513;Y;15351
514;Y;6511,5
515;N;0
516;Y;10175
517;Y;29835
518;Y;4828,5
519;Y;21445,5
520;Y;35280
521;Y;2700
522;N;0
523;N;0
524;Y;19488
525;Y;43273,5
526;Y;5265
527;Y;11137
528;Y;23185,5
529;Y;10395
530;N;0
531;N;0
532;Y;9918
533;N;0
534;Y;8797,5
535;Y;6475
536;Y;8820
537;Y;47863,5
538;N;0
539;N;0
540;Y;11742,5
541;N;0
542;Y;13420
543;Y;14640
544;Y;14640
545;Y;10125
546;N;0
547;N;0
548;Y;1605
549;N;0
550;Y;7659
551;Y;4746
552;Y;4625
553;Y;3182
554;Y;5971,5
555;N;0
556;Y;18900
557;N;0
558;Y;19237,5
559;Y;12810
560;Y;8482,5
561;Y;30624
562;N;0
563;Y;10875
564;Y;8100
565;N;0
566;Y;14411,5
567;Y;12825
568;Y;14430,5
569;Y;1917
570;N;0
571;N;0
572;Y;3025,5
573;Y;9834
574;Y;12444
575;Y;18981
576;Y;12688
577;Y;26622
578;Y;6090
579;N;0
580;Y;22680
581;N;0
582;Y;3552
583;Y;20250
584;Y;4927,5
585;Y;17820
586;N;0
587;N;0
588;Y;11223
589;Y;18270
590;Y;19665
591;Y;2430
592;Y;4884
593;Y;13580
594;N;0
595;Y;23751
596;Y;19440
597;N;0
598;Y;9620
599;Y;10656
600;Y;10822,5
601;Y;10365
602;N;0
603;N;0
604;Y;14079
605;N;0
606;Y;11160
607;Y;18225
608;Y;29754
609;Y;20010
610;N;0
611;N;0
612;Y;46935
613;N;0
614;Y;21536,5
615;Y;36933
616;Y;5365
617;Y;18102
618;Y;44832
619;N;0
620;Y;19666,5
621;Y;2685
622;Y;17280
623;Y;14245
624;Y;20630,5
625;Y;22175
626;Y;21618
627;N;0
628;Y;4366
629;N;0
630;Y;13838,5
631;Y;20833,5
632;Y;26520
633;Y;15738
634;N;0
635;N;0
636;Y;27645
637;N;0
638;Y;34390
639;Y;20662,5
640;Y;9195
641;Y;14430
642;Y;1790,5
643;N;0
644;Y;27144
645;N;0
646;Y;9516
647;Y;9564,5
648;Y;20358
649;Y;4736
650;N;0
651;N;0
652;Y;7177,5
653;N;0
654;Y;2767,5
655;Y;26448
656;Y;7640,5
657;Y;3510
658;N;0
659;Y;11571
660;Y;23751
661;Y;12180
662;Y;1665
663;Y;9570
664;Y;2497,5
665;Y;10530
666;N;0
667;Y;21924
668;Y;11610
669;Y;21315
670;Y;9450
671;Y;7920
672;Y;3108
673;Y;13523,5
674;N;0
675;Y;39933
676;Y;15408
677;Y;25662
678;Y;30368
679;Y;36342
680;Y;6870
681;Y;20096
682;Y;4818
683;Y;20898
684;Y;11544
685;N;0
686;Y;5975
687;Y;16875
688;Y;6956
689;Y;39757,5
690;N;0
691;N;0
692;Y;2970
693;N;0
694;Y;6960
695;Y;1831,5
696;Y;2958
697;Y;4872
698;N;0
699;N;0
700;Y;6457,5
701;N;0
702;Y;4035
703;Y;7733
704;Y;12810
705;Y;19184,5
706;Y;25620
707;N;0
708;Y;14504
709;N;0
710;Y;8750,5
711;Y;18400,5
712;Y;8700
713;Y;27840
714;N;0
715;N;0
716;Y;17926,5
717;N;0
718;Y;5512,5
719;Y;15790,5
720;Y;6734
721;Y;12654
722;N;0
723;Y;10209
724;Y;6216
725;Y;25207
726;Y;6935
727;Y;11137,5
728;Y;41769
729;Y;25480
730;Y;33934
731;Y;37125
732;Y;2719,5
733;N;0
734;Y;6030
735;Y;14485,5
736;Y;11529
737;Y;10360
738;Y;16296
739;N;0
740;Y;8582
741;N;0
742;Y;15817,5
743;Y;11100
744;Y;3626
745;Y;20097
746;Y;10248
747;Y;5058
748;Y;13050
749;Y;37772
750;Y;20097
751;Y;16863
752;Y;7962,5
753;Y;17955
754;N;0
755;N;0
756;Y;12210
757;N;0
758;Y;15097,5
759;Y;10582
760;Y;18630
761;Y;9990
762;Y;8235
763;N;0
764;Y;2719,5
765;N;0
766;Y;27000
767;Y;10881
768;Y;6327
769;Y;5624
770;N;0
771;N;0
772;Y;4316
773;N;0
774;Y;11227,5
775;Y;3538
776;Y;4117,5
