City_Code|city|state_name|county_name
1|New York|New York|New York
10|Boston|Massachusetts|Suffolk
100|Little Rock|Arkansas|Pulaski
1000|Ashburn|Virginia|Loudoun
10000|Albion|Indiana|Noble
10001|Mount Vernon|Georgia|Montgomery
10002|Hickman|Nebraska|Lancaster
10003|Decherd|Tennessee|Franklin
10004|Whidbey Island Station|Washington|Island
10005|Calera|Oklahoma|Bryan
10006|Dalworthington Gardens|Texas|Tarrant
10007|Salado|Texas|Bell
10008|Newton|Texas|Newton
10009|Pine Canyon|California|Monterey
1001|Bloomsburg|Pennsylvania|Columbia
10010|Ponder|Texas|Denton
10011|Chester|West Virginia|Hancock
10012|Kinder|Louisiana|Allen
10013|Horse Shoe|North Carolina|Henderson
10014|Fife Heights|Washington|Pierce
10015|Prague|Oklahoma|Lincoln
10016|Lake Heritage|Pennsylvania|Adams
10017|Lovell|Wyoming|Big Horn
10018|Chamberlain|South Dakota|Brule
10019|Timmonsville|South Carolina|Florence
1002|Morehead City|North Carolina|Carteret
10020|Concordia|Missouri|Lafayette
10021|Pine Ridge|South Carolina|Lexington
10022|Ashville|Alabama|St. Clair
10023|Henagar|Alabama|DeKalb
10024|Riverside|New York|Suffolk
10025|Good Hope|Alabama|Cullman
10026|Matamoras|Pennsylvania|Pike
10027|Montague|Michigan|Muskegon
10028|Red Hill|Pennsylvania|Montgomery
10029|Dillingham|Alaska|Dillingham
1003|Coral Gables|Florida|Miami-Dade
10030|Rainbow|California|San Diego
10031|Monroe|Utah|Sevier
10032|New London|Ohio|Huron
10033|Midland City|Alabama|Dale
10034|Walters|Oklahoma|Cotton
10035|Brewster|Washington|Okanogan
10036|Hinton|West Virginia|Summers
10037|East Brewton|Alabama|Escambia
10038|Raceland|Kentucky|Greenup
10039|Deep River Center|Connecticut|Middlesex
1004|Enid|Oklahoma|Garfield
10040|Carleton|Michigan|Monroe
10041|Iona|Idaho|Bonneville
10042|Crosslake|Minnesota|Crow Wing
10043|Llano Grande|Texas|Hidalgo
10044|Holiday Island|Arkansas|Carroll
10045|Gold Bar|Washington|Snohomish
10046|McCormick|South Carolina|McCormick
10047|Winfield|West Virginia|Putnam
10048|Byesville|Ohio|Guernsey
10049|Winamac|Indiana|Pulaski
1005|Lakewood|Ohio|Cuyahoga
10050|Emsworth|Pennsylvania|Allegheny
10051|Crompond|New York|Westchester
10052|New Wilmington|Pennsylvania|Lawrence
10053|Wray|Colorado|Yuma
10054|East Jordan|Michigan|Charlevoix
10055|Lyman|Mississippi|Harrison
10056|Colorado City|Colorado|Pueblo
10057|Oxford|Georgia|Newton
10058|Moline Acres|Missouri|St. Louis
10059|Maxton|North Carolina|Robeson
1006|Oroville|California|Butte
10060|Eureka|Kansas|Greenwood
10061|Hartshorne|Oklahoma|Pittsburg
10062|Belgium|Wisconsin|Ozaukee
10063|Emporium|Pennsylvania|Cameron
10064|Leith-Hatfield|Pennsylvania|Fayette
10065|Ely|Iowa|Linn
10066|Hermann|Missouri|Gasconade
10067|La Salle|Colorado|Weld
10068|East Bernard|Texas|Wharton
10069|Excelsior|Minnesota|Hennepin
1007|Wilson|North Carolina|Wilson
10070|Altamont|Illinois|Effingham
10071|Anahuac|Texas|Chambers
10072|West Sharyland|Texas|Hidalgo
10073|Neodesha|Kansas|Wilson
10074|Hardinsburg|Kentucky|Breckinridge
10075|Belle Rose|Louisiana|Assumption
10076|Darlington|Wisconsin|Lafayette
10077|Brewster|New York|Putnam
10078|Mosheim|Tennessee|Greene
10079|Eastpoint|Florida|Franklin
1008|Lawrence|Indiana|Marion
