ID|Has_Existing_Home_Loan|installment
1|Y|R5985,00
10|Y|R15660,00
100|Y|R9768,00
1000|Y|R17550,00
10000|Y|R6086,50
100000|Y|R1739,00
100001|Y|R20358,00
100002|Y|R34713,00
100003|N|R0,00
100004|Y|R3960,00
100005|N|R0,00
100006|Y|R11385,00
100007|Y|R22950,00
100008|Y|R18648,00
100009|Y|R8695,00
10001|Y|R2497,50
100010|Y|R15858,00
100011|N|R0,00
100012|Y|R8491,50
100013|Y|R17400,00
100014|Y|R19314,00
100015|Y|R22315,50
100016|Y|R3645,00
100017|Y|R25839,00
100018|N|R0,00
100019|N|R0,00
10002|N|R0,00
100020|Y|R18792,00
100021|Y|R38976,00
100022|Y|R23895,00
100023|Y|R35887,50
100024|Y|R21441,50
100025|Y|R24795,00
100026|Y|R26100,00
100027|N|R0,00
100028|Y|R6840,00
100029|N|R0,00
10003|N|R0,00
100030|Y|R19183,50
100031|Y|R5994,00
100032|Y|R34582,50
100033|Y|R18630,00
100034|N|R0,00
100035|N|R0,00
100036|Y|R12757,50
100037|Y|R8352,00
100038|Y|R9540,00
100039|Y|R3441,00
10004|Y|R1942,50
100040|Y|R26100,00
100041|Y|R16650,00
100042|N|R0,00
100043|Y|R9570,00
100044|Y|R8695,00
100045|N|R0,00
100046|Y|R31842,00
100047|Y|R6655,50
100048|Y|R9720,00
100049|Y|R2115,00
10005|N|R0,00
100050|N|R0,00
100051|N|R0,00
100052|Y|R13572,00
100053|N|R0,00
100054|Y|R15096,00
100055|Y|R3567,00
100056|Y|R8221,50
100057|Y|R7047,00
100058|N|R0,00
100059|Y|R37845,00
10006|Y|R16051,50
100060|Y|R25056,00
100061|N|R0,00
100062|Y|R16008,00
100063|Y|R7177,50
100064|Y|R15750,00
100065|Y|R8820,00
100066|N|R0,00
100067|Y|R15007,50
100068|Y|R2664,00
100069|N|R0,00
10007|Y|R11340,00
100070|Y|R9620,00
100071|Y|R11250,00
100072|Y|R11655,00
100073|Y|R14400,00
100074|N|R0,00
100075|N|R0,00
100076|Y|R10962,00
100077|N|R0,00
100078|Y|R18981,00
100079|Y|R10530,00
10008|Y|R5355,00
100080|Y|R3780,00
100081|Y|R4392,00
100082|N|R0,00
100083|N|R0,00
100084|Y|R14332,50
100085|N|R0,00
100086|Y|R15660,00
100087|Y|R26370,00
100088|Y|R11745,00
100089|Y|R12432,00
10009|Y|R13680,00
100090|Y|R14616,00
100091|N|R0,00
100092|Y|R7482,00
100093|N|R0,00
100094|Y|R12487,50
100095|Y|R3516,00
100096|Y|R8190,00
100097|Y|R12950,00
100098|N|R0,00
100099|N|R0,00
1001|Y|R28836,00
10010|N|R0,00
100100|Y|R8874,00
100101|Y|R20749,50
100102|Y|R14311,50
100103|Y|R13050,00
100104|Y|R12753,00
100105|Y|R7511,00
100106|N|R0,00
100107|N|R0,00
100108|Y|R8352,00
100109|Y|R14094,00
10011|N|R0,00
100110|Y|R10434,00
100111|Y|R7992,00
100112|Y|R17977,50
100113|Y|R40368,00
100114|N|R0,00
100115|N|R0,00
100116|Y|R8288,00
100117|N|R0,00
100118|Y|R7992,00
100119|Y|R8221,50
10012|Y|R7030,00
100120|Y|R48546,00
100121|Y|R9744,00
100122|Y|R28710,00
100123|N|R0,00
100124|Y|R3108,00
100125|N|R0,00
100126|Y|R4810,00
100127|Y|R16354,00
100128|Y|R18630,00
100129|Y|R29928,00
10013|N|R0,00
100130|N|R0,00
100131|N|R0,00
100132|Y|R24215,50
100133|N|R0,00
100134|Y|R29952,00
100135|Y|R13042,50
100136|Y|R6264,00
100137|Y|R10440,00
100138|Y|R35175,00
100139|N|R0,00
10014|Y|R9139,00
100140|Y|R9120,50
100141|Y|R3172,00
100142|Y|R10175,00
100143|Y|R9065,00
100144|Y|R15120,00
100145|Y|R6615,00
100146|N|R0,00
100147|Y|R28353,00
100148|Y|R14311,50
100149|N|R0,00
10015|Y|R5439,00
100150|Y|R7252,00
100151|Y|R4959,00
100152|Y|R5742,00
100153|Y|R66393,00
100154|N|R0,00
100155|Y|R26752,50
100156|Y|R44544,00
100157|N|R0,00
100158|Y|R25143,00
100159|Y|R39672,00
10016|Y|R7548,00
100160|Y|R25839,00
100161|Y|R13365,00
100162|N|R0,00
100163|Y|R23446,50
100164|Y|R17226,00
100165|Y|R42282,00
100166|Y|R6003,00
100167|Y|R9720,00
100168|Y|R3552,00
100169|Y|R7548,00
10017|Y|R8214,00
100170|N|R0,00
100171|N|R0,00
100172|Y|R11310,00
100173|Y|R5611,50
100174|Y|R6916,50
100175|Y|R16065,00
100176|Y|R8029,00
100177|Y|R22275,00
100178|Y|R18792,00
100179|Y|R25447,50
10018|N|R0,00
100180|Y|R46588,50
100181|N|R0,00
100182|Y|R14504,00
100183|Y|R18870,00
100184|Y|R9490,50
100185|Y|R11285,00
100186|N|R0,00
100187|N|R0,00
100188|Y|R3977,50
100189|N|R0,00
10019|N|R0,00
100190|Y|R17926,50
100191|Y|R16447,50
100192|Y|R6480,00
100193|Y|R3163,50
100194|N|R0,00
100195|N|R0,00
100196|Y|R28840,50
100197|N|R0,00
100198|Y|R12150,00
100199|Y|R4611,00
1002|N|R0,00
10020|Y|R5985,00
100200|Y|R17575,00
100201|Y|R5808,00
100202|N|R0,00
100203|N|R0,00
100204|Y|R2830,50
100205|N|R0,00
100206|Y|R10878,00
100207|Y|R3700,00
100208|Y|R23881,50
100209|Y|R15138,00
10021|Y|R22054,50
100210|N|R0,00
100211|N|R0,00
100212|Y|R3774,00
100213|N|R0,00
100214|Y|R13162,50
100215|Y|R6975,00
100216|Y|R17297,50
100217|Y|R10730,00
100218|Y|R29362,50
100219|N|R0,00
10022|Y|R11407,50
100220|Y|R2275,50
100221|Y|R5481,00
100222|Y|R6216,00
100223|Y|R6068,00
100224|Y|R3442,50
100225|Y|R7960,50
100226|Y|R13050,00
100227|N|R0,00
100228|Y|R20387,00
100229|Y|R23185,50
10023|Y|R4185,00
100230|Y|R19618,50
100231|Y|R15262,50
100232|Y|R14504,00
100233|Y|R7659,00
100234|N|R0,00
100235|Y|R8352,00
100236|Y|R35061,00
100237|N|R0,00
100238|Y|R4872,00
100239|Y|R3847,50
10024|Y|R10179,00
100240|Y|R34713,00
100241|Y|R7308,00
100242|Y|R2131,50
100243|N|R0,00
100244|Y|R22315,50
100245|N|R0,00
100246|Y|R41070,00
100247|Y|R6475,00
100248|Y|R27742,00
100249|Y|R17760,00
10025|Y|R28971,00
100250|N|R0,00
100251|Y|R37192,50
100252|Y|R9860,50
100253|Y|R7650,00
100254|Y|R2070,00
100255|Y|R8820,00
100256|Y|R19800,00
100257|Y|R28275,00
100258|Y|R8091,00
100259|N|R0,00
10026|N|R0,00
100260|Y|R11304,00
100261|Y|R21092,50
